Date,Store,Item,Category,Quantity,Price
2026-08-01,FreshMart,Milk,Dairy,1,60
2026-08-01,FreshMart,Chips,Snacks,2,80
2026-08-05,SuperMart,Apples,Fruits,2,120
2026-08-05,SuperMart,Eggs,Protein,1,90
2026-08-10,FreshMart,Coke,Beverages,2,100
2026-08-12,SuperMart,Cheese,Dairy,1,150
2026-08-15,SuperMart,Chocolate,Snacks,2,200
28/08/2017,Mall Name,Yogurt,Other,,7.0
28/08/2017,Mall Name,Spinach,Other,,4.5
28/08/2017,Mall Name,Tomatoes,Other,,9.9
28/08/2017,Mall Name,Cucumber,Other,,3.8
28/08/2017,Mall Name,Cabbage,Other,,2.2
28/08/2017,Mall Name,Milk,Other,,8.5
28/08/2017,Mall Name,Cereal variety pack,Other,,9.7
28 / 08 / 2017,Mall Name,Yogurt,Other,,7.0
28 / 08 / 2017,Mall Name,Spinach,Other,,4.5
28 / 08 / 2017,Mall Name,Tomatoes,Other,,9.9
28 / 08 / 2017,Mall Name,Cucumber,Other,,3.8
28 / 08 / 2017,Mall Name,Cabbage,Other,,2.2
28 / 08 / 2017,Mall Name,Milk,Other,,8.5
28 / 08 / 2017,Mall Name,Cereal variety pack,Other,,9.7
